system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785316374856177430,201665874621278,6916813,0.186247498,-0.001295634,-0.013258234,0.982412755,-0.012783172,0.002130529,0.005326321,0.079008654,-0.421379507,9.510966301,-0.026535911,-0.002392933,2.766908169,79
1785316374856768339,201665875212172,6916815,0.186239779,-0.001305466,-0.013259912,0.982414186,-0.008522115,0.005326321,0.001065264,0.045489833,-0.330399841,9.498994827,-0.026542893,-0.002374031,2.766923666,79
1785316374858995391,201665877439222,6916817,0.186238825,-0.001312610,-0.013259115,0.982414305,0.000000000,0.001065264,-0.003195793,0.045489833,-0.330399841,9.498994827,-0.026543990,-0.002359672,2.766925335,79
1785316374860997842,201665879441678,6916819,0.186237037,-0.001332925,-0.013256232,0.982414663,-0.012783172,0.020240022,-0.004261057,0.094570965,-0.414196908,9.461885452,-0.026545893,-0.002318635,2.766928434,79
1785316374863333648,201665881777479,6916820,0.186230242,-0.001336135,-0.013259414,0.982415915,-0.011717907,-0.001065264,0.009587379,0.094570965,-0.414196908,9.461885452,-0.026553359,-0.002313330,2.766942263,79
1785316374865251387,201665883695210,6916823,0.186229289,-0.001342078,-0.013257930,0.982416093,-0.005326321,0.001065264,-0.004261057,0.094570965,-0.414196908,9.461885452,-0.026552659,-0.002301075,2.766943932,79
1785316374867165444,201665885609271,6916825,0.186233923,-0.001339168,-0.013260393,0.982415199,-0.006391586,-0.017044229,-0.005326321,0.062249243,-0.424970806,9.455899239,-0.026556404,-0.002307834,2.766934633,79
1785316374869086979,201665887530804,6916827,0.186231703,-0.001329011,-0.013252420,0.982415736,0.008522115,-0.011717907,-0.003195793,0.062249243,-0.424970806,9.455899239,-0.026536958,-0.002324762,2.766939402,79
1785316374871113870,201665889557696,6916829,0.186233819,-0.001329120,-0.013247443,0.982415438,0.000000000,-0.011717907,-0.005326321,0.077811554,-0.390254885,9.473855972,-0.026527209,-0.002322749,2.766935110,79
1785316374873077506,201665891521329,6916831,0.186231151,-0.001327212,-0.013248750,0.982415915,-0.008522115,-0.005326321,-0.006391586,0.077811554,-0.390254885,9.473855972,-0.026529076,-0.002326914,2.766940594,79
