system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785318672788002264,203963806446101,9214610,0.639399469,-0.120235845,0.106426127,0.751921237,-0.004261057,-0.012783172,0.006391586,-3.055001259,0.108936176,9.010578156,0.006632579,0.322473347,1.733272195,79
1785318672789834959,203963808278787,9214613,0.639400244,-0.120238811,0.106422439,0.751920462,-0.011717907,-0.011717907,0.005326321,-3.055001259,0.108936176,9.010578156,0.006622368,0.322473079,1.733268142,79
1785318672792422380,203963810866207,9214615,0.639393985,-0.120244935,0.106419422,0.751925290,-0.009587379,0.001065264,-0.004261057,-3.063380957,0.069431849,9.024943352,0.006612001,0.322478503,1.733282804,79
1785318672793914280,203963812358110,9214617,0.639388978,-0.120252006,0.106420912,0.751928210,-0.010652643,0.003195793,0.003195793,-3.063380957,0.069431849,9.024943352,0.006606782,0.322491378,1.733293414,79
1785318672795452604,203963813896428,9214619,0.639389515,-0.120246828,0.106419817,0.751928687,0.003195793,-0.011717907,-0.003195793,-3.088520288,0.050278235,8.981847763,0.006611989,0.322481900,1.733293891,79
1785318672798495851,203963816939685,9214621,0.639388442,-0.120243683,0.106411673,0.751931310,-0.009587379,-0.009587379,-0.002130529,-3.088520288,0.050278235,8.981847763,0.006604132,0.322466373,1.733297944,79
1785318672800023047,203963818466882,9214623,0.639385879,-0.120239511,0.106405713,0.751934946,-0.003195793,-0.006391586,0.000000000,-3.088520288,0.050278235,8.981847763,0.006601751,0.322452068,1.733306050,79
1785318672803183531,203963821627372,9214625,0.639383852,-0.120236166,0.106408589,0.751936793,0.001065264,-0.014913701,-0.009587379,-3.070563793,0.086191259,9.021351814,0.006611737,0.322450638,1.733313203,79
1785318672803503416,203963821947259,9214627,0.639383912,-0.120236829,0.106405884,0.751937032,-0.003195793,-0.015978964,-0.006391586,-3.070563793,0.086191259,9.021351814,0.006606596,0.322448134,1.733312607,79
1785318672805984688,203963824428514,9214629,0.639379323,-0.120237365,0.106396794,0.751942098,-0.014913701,-0.022370551,0.001065264,-3.070563793,0.086191259,9.021351814,0.006593735,0.322436959,1.733324170,79
1785318672807647166,203963826091008,9214631,0.639378846,-0.120235831,0.106391184,0.751943588,-0.007456850,-0.008522115,-0.006391586,-3.099294186,0.082599960,8.919598579,0.006587341,0.322427273,1.733325839,79
1785318672809434341,203963827878164,9214633,0.639371395,-0.120242201,0.106391162,0.751948833,-0.007456850,-0.004261057,0.005326321,-3.099294186,0.082599960,8.919598579,0.006581811,0.322436959,1.733343244,79
1785318672811333200,203963829777020,9214635,0.639366090,-0.120248541,0.106391244,0.751952350,-0.008522115,-0.004261057,0.004261057,-3.041833162,0.073023155,9.023746490,0.006575540,0.322446853,1.733355045,79
1785318672813581904,203963832025738,9214637,0.639370084,-0.120244548,0.106384508,0.751950562,-0.005326321,-0.013848436,-0.014913701,-3.041833162,0.073023155,9.023746490,0.006568803,0.322431892,1.733345389,79
1785318672815797381,203963834241216,9214639,0.639361799,-0.120243855,0.106386602,0.751957357,-0.010652643,-0.009587379,0.004261057,-3.041833162,0.073023155,9.023746490,0.006576680,0.322433442,1.733368278,79
1785318672817959546,203963836403379,9214641,0.639365852,-0.120252691,0.106381670,0.751953244,-0.007456850,-0.001065264,-0.012783172,-3.100491285,0.017956512,8.966285706,0.006555019,0.322440714,1.733353257,79
1785318672819646534,203963838090358,9214643,0.639364004,-0.120254010,0.106386617,0.751953840,-0.006391586,-0.002130529,0.001065264,-3.100491285,0.017956512,8.966285706,0.006561695,0.322449207,1.733357906,79
1785318672821898027,203963840341852,9214645,0.639364362,-0.120256491,0.106386237,0.751953244,0.000000000,-0.005326321,-0.005326321,-3.066972494,0.081402861,8.985439301,0.006557527,0.322452515,1.733355999,79
1785318672823525156,203963841968978,9214647,0.639366329,-0.120245330,0.106380723,0.751954138,-0.004261057,-0.015978964,-0.001065264,-3.066972494,0.081402861,8.985439301,0.006563492,0.322428077,1.733355045,79
1785318672825481963,203963843925794,9214649,0.639367580,-0.120247699,0.106384411,0.751952171,-0.006391586,0.004261057,0.003195793,-3.066972494,0.081402861,8.985439301,0.006565403,0.322436601,1.733350873,79
1785318672827461964,203963845905789,9214651,0.639363229,-0.120245762,0.106383197,0.751956344,-0.008522115,-0.011717907,0.005326321,-3.049015760,0.009576807,9.030928612,0.006568118,0.322431952,1.733363390,79
1785318672829447623,203963847891449,9214653,0.639364600,-0.120244354,0.106381975,0.751955569,-0.007456850,-0.012783172,-0.004261057,-3.049015760,0.009576807,9.030928612,0.006567555,0.322428197,1.733360291,79
1785318672831617239,203963850061072,9214655,0.639364183,-0.120253265,0.106388815,0.751953542,-0.004261057,0.002130529,-0.009587379,-3.078943491,0.056263741,8.997409821,0.006566082,0.322450936,1.733358026,79
1785318672833613210,203963852057047,9214657,0.639367223,-0.120252639,0.106393941,0.751950324,0.003195793,-0.006391586,-0.014913701,-3.078943491,0.056263741,8.997409821,0.006573568,0.322456717,1.733350396,79
1785318672835952998,203963854396826,9214659,0.639360607,-0.120248228,0.106398746,0.751955986,0.002130529,-0.004261057,0.005326321,-3.078943491,0.056263741,8.997409821,0.006590083,0.322456181,1.733370662,79
1785318672839094330,203963857538156,9214661,0.639357030,-0.120248184,0.106404863,0.751958191,0.001065264,-0.001065264,0.000000000,-3.052607059,0.044292733,8.980650902,0.006601264,0.322464079,1.733381033,79
1785318672839954915,203963858398748,9214663,0.639365733,-0.120246172,0.106410824,0.751950324,0.002130529,-0.001065264,-0.012783172,-3.052607059,0.044292733,8.980650902,0.006609463,0.322468907,1.733358622,79
1785318672841798636,203963860242468,9214665,0.639364362,-0.120248243,0.106420815,0.751949728,0.001065264,-0.002130529,-0.001065264,-3.027467966,0.059855044,8.967482567,0.006622766,0.322485209,1.733362198,79
1785318672843388967,203963861832799,9214667,0.639367938,-0.120248318,0.106416769,0.751947284,-0.004261057,-0.009587379,-0.014913701,-3.027467966,0.059855044,8.967482567,0.006614786,0.322480053,1.733352304,79
1785318672845570122,203963864014021,9214669,0.639368296,-0.120251842,0.106424779,0.751945198,-0.008522115,-0.001065264,-0.010652643,-3.027467966,0.059855044,8.967482567,0.006622204,0.322495997,1.733350158,79
